step,loss,manual_loss,ctds_loss,ctds_pinn_loss,ctds_component_bal_loss,modal_loss,effective_modal_loss_weight,resample_count,lr_drift,lr_free_energy,lr_potential,ess_count,w2,weighted_w2,mmd,drift_grad_norm,free_energy_grad_norm,potential_grad_norm,total_grad_norm,mode_weight_0,mode_weight_1
0,6514.07763671875,392.802734375,6514.07763671875,1069.201171875,0.005444876383990049,0.011276185512542725,1000000.0,0,0.001,0.001,0.001,0.9625634551048279,49.46760940551758,60.127837962216816,0.03682738542556763,935.9682092107525,89.2246037206232,3805.389610418611,3919.8198435188565,0.5746657848358154,0.4253341853618622
1,3149.99853515625,252.42662048339844,3149.99853515625,1003.8914794921875,0.002146107144653797,0.005071729421615601,1000000.0,0,0.001,0.001,0.001,0.9586564898490906,49.478271484375,57.29587092566978,0.03715604543685913,1030.8668683844837,296.92955330283525,5718.722210441067,5818.473801620956,0.5502299666404724,0.4497700333595276
2,12321.71484375,1242.80419921875,12321.71484375,740.335205078125,0.011581379920244217,0.02292567491531372,1000000.0,0,0.001,0.001,0.001,0.7902123332023621,49.50083923339844,34.293609514331166,0.03737765550613403,4200.380147364953,944.3559043569425,27974.43477585116,28303.780710089286,0.394150972366333,0.605849027633667
3,242.94915771484375,27.903209686279297,242.94915771484375,163.18821716308594,7.976094639161602e-05,6.8247318267822266e-06,1000000.0,0,0.001,0.001,0.001,0.8294538855552673,49.437904357910156,51.18229205876388,0.037301599979400635,374.11609666565414,1323.1736706726394,1478.6548176420363,2019.2007048041694,0.5018568634986877,0.49814319610595703
4,10866.8759765625,1519.2939453125,10866.8759765625,624.6102294921875,0.010242265649139881,0.026189789175987244,1000000.0,0,0.001,0.001,0.001,0.7867574691772461,49.495731353759766,64.40006765817748,0.03726094961166382,3752.9898973124937,8042.715756516098,11542.793455370727,14560.43579920571,0.6129505634307861,0.3870494067668915
5,7861.91259765625,1276.6976318359375,7861.91259765625,467.7510681152344,0.00739416154101491,0.02023223042488098,1000000.0,0,0.001,0.001,0.001,0.646123468875885,49.421443939208984,62.86157297800654,0.03767591714859009,3425.8393442258057,2869.891510362369,9092.979460286639,10131.876823120689,0.599570095539093,0.40042993426322937
6,1135.0330810546875,207.69012451171875,1135.0330810546875,587.9978637695312,0.0005470351898111403,0.0017764866352081299,1000000.0,0,0.001,0.001,0.001,0.4183824062347412,49.43360900878906,54.844184079872115,0.03795570135116577,1236.0832959777313,2073.806842472378,2341.994734473645,3363.5570562698513,0.5297771692276001,0.4702228605747223
7,1652.831298828125,330.66253662109375,1652.831298828125,550.8134155273438,0.0011020178208127618,0.0012351274490356445,1000000.0,0,0.001,0.001,0.001,0.2116190493106842,49.44685363769531,47.57531346569925,0.038775861263275146,2346.206960543388,1901.976520124649,6465.589907456565,7136.2493395488855,0.47516438364982605,0.5248356461524963
8,2218.13037109375,486.4755554199219,2218.13037109375,446.7915954589844,0.0017713387496769428,0.002498239278793335,1000000.0,0,0.001,0.001,0.001,0.17834052443504333,49.43472671508789,46.096439793567384,0.03965860605239868,3002.0797742072905,1721.7761687728182,8036.283697490026,8749.79152966529,0.4647013545036316,0.5352986454963684
9,1660.701416015625,394.2568359375,1660.701416015625,372.47198486328125,0.0012882293667644262,0.005562245845794678,1000000.0,0,0.001,0.001,0.001,0.1303243339061737,49.385154724121094,57.61648290970681,0.03992372751235962,3365.3365324621186,1524.021961251668,3589.4056420567786,5150.918925621968,0.5525901317596436,0.44740986824035645
10,3952.46044921875,1022.6070556640625,3952.46044921875,288.7358703613281,0.003663724521175027,0.007699161767959595,1000000.0,0,0.001,0.001,0.001,0.17305761575698853,49.43171310424805,58.70255713904044,0.04001671075820923,5416.713154693863,1411.8004802023486,7659.030328099109,9486.554040476187,0.5618069767951965,0.43819302320480347
11,4992.23828125,1301.1927490234375,4992.23828125,201.25209045410156,0.00479098642244935,0.025122329592704773,1000000.0,0,0.001,0.001,0.001,0.08356671780347824,49.4433479309082,64.1611206260739,0.0411149263381958,7660.498885994267,1353.8744856895335,5692.022982103899,9639.26060100667,0.6106834411621094,0.3893165588378906
12,1521.5684814453125,418.5398864746094,1521.5684814453125,146.9013214111328,0.0013746671611443162,0.0020065903663635254,1000000.0,0,0.001,0.001,0.001,0.05301272124052048,49.45682907104492,55.157556187887735,0.04229015111923218,2392.583288982368,1011.7092228828695,5298.885421793502,5901.372472542268,0.5316429734230042,0.46835702657699585
13,2832.951416015625,854.0736083984375,2832.951416015625,235.0244140625,0.002597927115857601,0.010363072156906128,1000000.0,0,0.001,0.001,0.001,0.029301784932613373,49.5352897644043,60.020870974926254,0.04246896505355835,4980.075599558999,1543.2262865052483,3264.1395513809744,6151.203732569203,0.5716115236282349,0.42838847637176514
14,6256.77197265625,2021.559814453125,6256.77197265625,323.4268798828125,0.005933345295488834,7.918477058410645e-05,1000000.0,0,0.001,0.001,0.001,0.03504563868045807,49.489166259765625,51.85636415701064,0.04262280464172363,10897.19148571899,2468.3671192103848,13088.10414531872,17208.721295620267,0.5062922239303589,0.4937077760696411
15,1528.22705078125,524.6604614257812,1528.22705078125,169.85781860351562,0.001358369248919189,0.007462143898010254,1000000.0,0,0.001,0.001,0.001,0.022168343886733055,49.47650146484375,42.355499499628195,0.04206430912017822,7546.343090911383,1481.1729994706768,3879.5792946973684,8613.495399891466,0.4391445219516754,0.560855507850647
16,15757.2333984375,5780.3681640625,15757.2333984375,69.77582550048828,0.015687458217144012,0.044637084007263184,1000000.0,0,0.001,0.001,0.001,0.04645984247326851,49.46220397949219,67.82655768552604,0.042073726654052734,17043.565842249744,135.64885126802278,14599.16772604135,22441.86345923707,0.6461209654808044,0.35387906432151794
17,5525.375,2110.69873046875,5525.375,114.60321044921875,0.005410771816968918,0.010325819253921509,1000000.0,0,0.001,0.001,0.001,0.012043360620737076,49.41220474243164,40.61196608093319,0.042739927768707275,6144.851624585678,749.4406500482835,8120.828495288748,10211.205522660473,0.42851611971855164,0.571483850479126
18,16743.611328125,7038.9013671875,16743.611328125,188.96339416503906,0.01655464805662632,0.12101010978221893,1000000.0,0,0.001,0.001,0.001,0.005287488456815481,49.447025299072266,24.884552827800462,0.04386037588119507,40820.8808846622,1055.5618911064705,8147.2808929235225,41639.3649453727,0.2681812345981598,0.7318187952041626
19,3709.8447265625,1555.6768798828125,3709.8447265625,251.0420684814453,0.0034588028211146593,0.006987273693084717,1000000.0,0,0.001,0.001,0.001,0.0280904620885849,49.45462417602539,58.72632384221123,0.04456454515457153,15835.272426278325,1267.4077923342993,4641.06379917536,16549.974275343644,0.5589010715484619,0.4410989284515381
20,11894.1572265625,5334.4833984375,11894.1572265625,222.07205200195312,0.011672085151076317,0.03919565677642822,1000000.0,0,0.0005,0.0005,0.0005,0.0058766016736626625,49.46367263793945,28.236436582556074,0.04635089635848999,38709.85848228486,1149.2015823610952,7144.147682841284,39380.35873515716,0.36270689964294434,0.6372931599617004
21,8722.7138671875,4042.8349609375,8722.7138671875,227.39126586914062,0.008495322428643703,0.02902090549468994,1000000.0,0,0.0005,0.0005,0.0005,0.02890278957784176,49.50273132324219,65.08890273670573,0.046536803245544434,17053.472299879402,1114.8605964954313,5958.5374471403,18098.839745722526,0.6187324523925781,0.38126757740974426
22,29245.765625,15415.70703125,29245.765625,150.413818359375,0.029095351696014404,0.2486518919467926,1000000.0,0,0.0005,0.0005,0.0005,0.003657615277916193,49.518638610839844,83.55792367682551,0.04691118001937866,38939.25137212548,774.7063898661844,6166.562456944391,39432.11838016659,0.8129823803901672,0.18701764941215515
23,4156.97900390625,2081.945068359375,4156.97900390625,163.7327423095703,0.003993246238678694,6.794929504394531e-06,1000000.0,0,0.0005,0.0005,0.0005,0.021250363439321518,49.49445724487305,51.06279353546321,0.04705154895782471,18326.755568037494,609.2686873830969,4610.204569556316,18907.54252030593,0.5018373131752014,0.4981626570224762
24,35394.0859375,19333.2109375,35394.0859375,173.30348205566406,0.03522077947854996,0.04086630046367645,1000000.0,0,0.0005,0.0005,0.0005,0.007663248106837273,49.54572296142578,27.43655884936588,0.04700058698654175,72627.10817981181,457.3542922326817,12153.60987470773,73638.41557568513,0.3599270284175873,0.6400730013847351
25,59868.58984375,36418.34375,59868.58984375,161.69000244140625,0.05970689654350281,0.2125934660434723,1000000.0,0,0.0005,0.0005,0.0005,0.003002284560352564,49.560611724853516,82.17431704355616,0.04744315147399902,84001.13164262955,588.98642306596,6939.076982017815,84289.31018587889,0.7942585349082947,0.20574145019054413
26,85236.90625,57026.01171875,85236.90625,200.23731994628906,0.08503667265176773,0.4016164243221283,1000000.0,0,0.0005,0.0005,0.0005,0.008412797003984451,49.531314849853516,88.82352154009456,0.04721415042877197,52435.628817393124,799.6204343554815,8151.560350146286,53071.48479604225,0.8715243935585022,0.12847566604614258
27,2633.173095703125,1527.3087158203125,2633.173095703125,211.27044677734375,0.0024219024926424026,0.0019016861915588379,1000000.0,0,0.0005,0.0005,0.0005,0.011826367117464542,49.54795837402344,47.183347566935495,0.045902252197265625,7420.6418167552065,847.8217476835022,2933.275423924588,8024.265162681321,0.46919310092926025,0.5308069586753845
28,1196.321044921875,714.961669921875,1196.321044921875,179.04727172851562,0.001017273752950132,0.008946746587753296,1000000.0,0,0.0005,0.0005,0.0005,0.03185877576470375,49.56312561035156,41.52866395013346,0.04571235179901123,3116.5414736566295,630.9978606796876,635.9951560316402,3242.757915062407,0.4334147274494171,0.5665853023529053
29,14518.330078125,9282.263671875,14518.330078125,158.78680419921875,0.014359543099999428,0.08327645063400269,1000000.0,0,0.0005,0.0005,0.0005,0.028004756197333336,49.58393096923828,72.66989409299448,0.04436802864074707,17683.712321684565,432.3443239738313,70.7153168881448,17689.138015929817,0.6958456635475159,0.3041543662548065
30,7524.861328125,4906.2353515625,7524.861328125,142.2849578857422,0.0073825763538479805,0.05141320824623108,1000000.0,0,0.0005,0.0005,0.0005,0.010136042721569538,49.58696365356445,69.20211764429017,0.04509127140045166,13957.553167941474,326.6782100419203,1346.8194662796948,14026.187356640407,0.6562982797622681,0.3437017798423767
31,114055.8515625,90055.96875,114055.8515625,134.8214111328125,0.11392103135585785,0.4405770003795624,1000000.0,0,0.0005,0.0005,0.0005,0.001476751989684999,49.58416748046875,51.814249396820124,0.044734954833984375,129156.6705405571,413.36139027535586,8733.982816553667,129452.30345034743,0.11734628677368164,0.8826537132263184
32,26066.359375,18074.482421875,26066.359375,172.32498168945312,0.025894034653902054,0.07148835062980652,1000000.0,0,0.0005,0.0005,0.0005,0.012041251175105572,49.558082580566406,72.09089692465442,0.04606717824935913,43275.46492925084,573.9310332325173,6552.1699963715455,43772.436456462856,0.6825004816055298,0.3174995183944702
33,244566.890625,273741.3125,244566.890625,179.60426330566406,0.24438728392124176,1.029203176498413,1000000.0,0,0.0005,0.0005,0.0005,0.001182591775432229,49.56714630126953,63.58617403702188,0.04763215780258179,113515.61749167931,456.8327303018641,8375.634157035338,113825.10864564647,0.0330035425722599,0.9669964909553528
34,20999.421875,15119.1416015625,20999.421875,236.86325073242188,0.02076255902647972,0.02158331871032715,1000000.0,0,0.0005,0.0005,0.0005,0.012951498851180077,49.618106842041016,35.23984716907275,0.049048542976379395,18033.033610755716,911.4612665248794,7751.895543174816,19649.756928759045,0.3972281217575073,0.6027718782424927
35,11921.4521484375,8734.4951171875,11921.4521484375,231.55674743652344,0.011689895763993263,0.035856351256370544,1000000.0,0,0.0005,0.0005,0.0005,0.01362350769340992,49.5872688293457,29.21212782834038,0.04961800575256348,29465.161998578875,909.4388625234569,643.1700017100951,29486.208950936103,0.3684688210487366,0.6315312385559082
36,44002.9765625,35315.0,44002.9765625,254.337890625,0.043748639523983,0.22167174518108368,1000000.0,0,0.0005,0.0005,0.0005,0.005003653466701508,49.610111236572266,82.31102286700477,0.05157887935638428,47533.35207130579,868.7019779297856,11753.63452187332,48972.66713928231,0.7992127537727356,0.20078717172145844
37,6923.44140625,5285.1611328125,6923.44140625,250.98226928710938,0.006672459188848734,0.015322476625442505,1000000.0,0,0.0005,0.0005,0.0005,0.01185666210949421,49.62312698364258,61.610368810789154,0.05160874128341675,19271.23911819968,913.5621758199642,364.6743203393589,19296.327120979095,0.5868621468544006,0.413137823343277
38,85627.234375,74657.8828125,85627.234375,239.47784423828125,0.08538775891065598,0.14859431982040405,1000000.0,0,0.0005,0.0005,0.0005,0.0040878974832594395,49.62656021118164,78.61661489300295,0.05352967977523804,126695.57541095038,754.4188842132663,2338.518551631668,126719.40122010124,0.7535232901573181,0.24647673964500427
39,16871.990234375,13766.875,16871.990234375,247.0331573486328,0.01662495732307434,0.05483689904212952,1000000.0,0,0.0005,0.0005,0.0005,0.010041243396699429,49.69322204589844,22.000832733644064,0.05392611026763916,34892.3774155704,680.4607464050089,9063.535991441478,36056.74296447421,0.33885282278060913,0.6611472368240356
40,9136.826171875,7563.45947265625,9136.826171875,272.6239929199219,0.008864202536642551,0.0005227625370025635,1000000.0,0,0.00025,0.00025,0.00025,0.005793648771941662,49.728153228759766,53.77678218176367,0.05530381202697754,46214.325920417716,496.16743573782793,2383.683717134308,46278.4188414666,0.5161623358726501,0.48383763432502747
41,43096.41796875,39510.91796875,43096.41796875,229.16799926757812,0.04286725074052811,0.17128661274909973,1000000.0,0,0.00025,0.00025,0.00025,0.004120661411434412,49.676177978515625,34.05376857414517,0.055437564849853516,55836.45190412494,513.3757561403386,12434.226297734958,57206.49350844652,0.23071444034576416,0.7692855596542358
42,139666.140625,150481.03125,139666.140625,280.53472900390625,0.13938561081886292,0.001135110855102539,1000000.0,0,0.00025,0.00025,0.00025,0.023197611793875694,49.73807907104492,54.313663844198786,0.055797278881073,104806.9030365117,589.1307161419309,445.4063349126693,104809.50522690511,0.5238099098205566,0.47619009017944336
43,54750.05078125,52094.9765625,54750.05078125,224.0020751953125,0.05452604591846466,0.06830692291259766,1000000.0,0,0.00025,0.00025,0.00025,0.006902121938765049,49.716060638427734,16.2331760940888,0.05775952339172363,34249.10403277598,517.496901048605,8086.200883072592,35194.538991325215,0.3213292062282562,0.6786707639694214
44,139703.390625,196966.953125,139703.390625,250.33274841308594,0.13945306837558746,1.0076961517333984,1000000.0,0,0.00025,0.00025,0.00025,0.0011744005605578423,49.7333869934082,95.53293026456144,0.05772215127944946,93790.64020571469,594.7831360227816,6031.820399188229,93986.2799269382,0.9654921889305115,0.034507811069488525
45,50288.53125,52023.4921875,50288.53125,229.66482543945312,0.050058867782354355,0.36362114548683167,1000000.0,0,0.00025,0.00025,0.00025,0.002243013819679618,49.771095275878906,49.264905558848554,0.05819910764694214,62115.02307273393,438.92997566323544,3329.5299707061936,62205.74347016226,0.14056983590126038,0.8594301342964172
46,323728.8125,1116613.125,323728.8125,225.39242553710938,0.32350340485572815,4.123199939727783,1000000.0,0,0.00025,0.00025,0.00025,0.0010018807370215654,49.743125915527344,68.22559249674572,0.06015068292617798,68620.04894913678,900.0286168529169,2504.206273463975,68671.62600632913,6.555446452694014e-05,0.9999344348907471
47,98912.390625,120148.2265625,98912.390625,194.19287109375,0.09871819615364075,0.7321962714195251,1000000.0,0,0.00025,0.00025,0.00025,0.0011805532267317176,49.786590576171875,94.68519793835827,0.0599367618560791,130314.4132066154,399.9318115770543,11909.325430159226,130858.08445426612,0.93840092420578,0.06159904971718788
48,213.137939453125,266.72412109375,213.137939453125,213.137939453125,0.16455808281898499,0.6491361856460571,0.0,0,0.00025,0.00025,0.00025,0.0041001224890351295,49.78029251098633,57.19826539306618,0.05940747261047363,362.043273400262,458.03008975043207,28.100758655532662,584.5139412949723,0.07367942482233047,0.9263205528259277
49,184.68975830078125,182.26995849609375,184.68975830078125,184.68975830078125,0.3434361219406128,3.149759292602539,0.0,0,0.00025,0.00025,0.00025,0.0010070235002785921,49.745513916015625,97.63744606400127,0.06103032827377319,510.6005331352585,566.7131771750754,39.59162796765195,763.8352090778532,0.9995405077934265,0.00045950847561471164
